Omega,switch_rate,mean_sigma_z_full,mean_sigma_z_effective,stationary_trace_distance,relative_spectral_distance,zero_frequency_spectrum_ratio,slowest_visible_decay_rate,sigma_full,sigma_hidden
0.15,0.003981071705534973,-0.5105163966931653,-0.3979380749992774,0.06456705250781855,0.7295336427928019,17.37120582013256,0.007962143411069808,0.01673428765115554,0.009298674639646894
0.15,0.0047315125896148025,-0.5104297270571663,-0.3979380749992774,0.06449928148269495,0.7010216862542419,14.772106018751135,0.00946302517922946,0.01682627428717776,0.00939847747819101
0.15,0.005623413251903491,-0.5103268418947802,-0.3979380749992774,0.064418952057205,0.6715412311264685,12.585018986995607,0.011246826503807194,0.016935470705116855,0.00951692626566758
0.15,0.006683439175686149,-0.5102047350522747,-0.3979380749992774,0.06432378464929728,0.6414084071816782,10.744708914544507,0.013366878351372848,0.017065067166865927,0.009657466972880765
0.15,0.007943282347242814,-0.510059854683675,-0.3979380749992774,0.06421110505961888,0.6109541647627619,9.196246187409283,0.01588656469448547,0.01721883296169696,0.009824166830001955
0.15,0.009440608762859235,-0.5098880091189684,-0.3979380749992774,0.06407778384388951,0.5805081464732516,7.893390021686001,0.01888121752571832,0.01740121625500692,0.010021819819863264
0.15,0.011220184543019636,-0.5096842586318362,-0.3979380749992774,0.06392016946969006,0.5503833866846437,6.797220814630669,0.02244036908603897,0.017617458880872048,0.010256067318064548
0.15,0.01333521432163324,-0.5094427919678465,-0.3979380749992774,0.06373401594434931,0.5208631638719324,5.874985384740527,0.026670428643266533,0.017873727279948633,0.010533534824080712
0.15,0.015848931924611134,-0.5091567869060812,-0.3979380749992774,0.06351440631906612,0.4921908912854669,5.0991229941518705,0.03169786384922196,0.018177260345155946,0.010861985154121775
0.15,0.018836490894898,-0.508818254865642,-0.3979380749992774,0.06325567446892383,0.4645634365355828,4.446444469674279,0.03767298178979623,0.018536534151447084,0.011250487505996684
0.15,0.02238721138568339,-0.5084178707843116,-0.3979380749992774,0.06295132887604325,0.4381278204740577,3.8974407276202028,0.04477442277136683,0.018961442253428166,0.011709600296239128
0.15,0.0266072505979881,-0.507944791390183,-0.3979380749992774,0.06259398384974246,0.41298093081573595,3.4357005207100606,0.05321450119597638,0.0194634882231297,0.01225156340055849
0.15,0.03162277660168379,-0.5073864678143121,-0.3979380749992774,0.06217530572145758,0.38917171842185566,3.047420271522945,0.06324555320336767,0.020055984098887744,0.0128904921424174
0.15,0.037583740428844416,-0.5067284625600765,-0.3979380749992774,0.06168598401884093,0.36670530604942225,2.72099146918853,0.0751674808576885,0.020754244100901605,0.013642560776779073
0.15,0.0446683592150963,-0.5059542864830553,-0.3979380749992774,0.06111574033274029,0.34554848935419574,2.446653327458891,0.08933671843019307,0.021575756990710314,0.014526157011639168
0.15,0.05308844442309882,-0.5050452789316322,-0.3979380749992774,0.0604533903000629,0.3256362008868088,2.216200279034162,0.10617688884619778,0.022540312507580276,0.015561981080524541
