Omega,switch_rate,excited_population,coherence_l1,J_hot,J_cold,drive_power,sigma_full,sigma_coarse,sigma_hidden,FCS_mean_hot,FCS_variance_hot,Fano_hot
0.0,562.341325190349,0.2991598119549481,0.0,0.09442770519336208,-0.09442770519336315,0.0,0.13219878727070905,9.092377371866427e-16,0.13219878727070813,0.0944277054971684,0.14825322926080184,1.5700183381586825
0.0,630.9573444801943,0.2991695033237481,0.0,0.09444237397035932,-0.09444237397036394,0.0,0.1322193235585123,3.932158006274701e-15,0.13221932355850835,0.09444237449727448,0.14825713263773518,1.5698158101903055
0.0,707.9457843841387,0.29917814330326065,0.0,0.09445545137310196,-0.09445545137309587,0.0,0.13223763192233057,-5.1838359301939756e-15,0.13223763192233576,0.09445545153255845,0.148291434253882,1.5699616258016245
0.0,794.3282347242822,0.2991858457099381,0.0,0.09446710967323163,-0.09446710967321084,0.0,0.1322539535424827,-1.7688806887085595e-14,0.13225395354250039,0.09446710973038201,0.14831725040983734,1.5700411585910554
0.0,891.2509381337459,0.29919271208974507,0.0,0.09447750256986709,-0.09447750256984684,0.0,0.13226850359777342,-1.722828387734171e-14,0.13226850359779066,0.09447750297906851,0.1483243611937466,1.5699437063510013
0.0,1000.0,0.29919883303063344,0.0,0.09448676717617766,-0.09448676717618551,0.0,0.13228147404666443,6.68348778243688e-15,0.13228147404665774,0.09448676807396078,0.14837092582577963,1.5702825787166337
0.15,0.001,0.24456919549873768,0.11700795197018822,-0.0008452140130761343,-0.007930382384688073,0.008775596397764117,0.016367893177221825,0.007466947979071078,0.008900945198150746,-0.0008452140831681291,0.004349736246299927,5.146313026394146
0.15,0.001122018454301963,0.24457627490652237,0.11698771228404434,-0.0008323113836130047,-0.007941767037690235,0.008774078421303325,0.016382920905548274,0.007465656368705955,0.008917264536842318,-0.0008323114465355043,0.004273742752486646,5.13478790935304
0.15,0.0012589254117941675,0.24458421666626373,0.11696501746564869,-0.0008178381800283963,-0.007954538129895182,0.008772376309923651,0.016399779167807403,0.007464208082281825,0.008935571085525578,-0.0008178382360930312,0.004211160607703505,5.1491363717854775
0.15,0.001412537544622754,0.24459312562066535,0.11693957167554714,-0.0008016037419697475,-0.00796886413369624,0.008770467875666035,0.01641869051257433,0.007462584240587541,0.008956106271986789,-0.0008016037926251837,0.004161117804987218,5.190990665550514
0.15,0.001584893192461114,0.24460311930660983,0.11691104393528129,-0.0007833943978691749,-0.007984933897277016,0.008768328295146096,0.01643990443327554,0.007460763721990944,0.008979140711284594,-0.0007833944425445086,0.0041230670747193655,5.263079300546752
0.15,0.0017782794100389228,0.24461432947842437,0.11687906408507773,-0.0007629707224003912,-0.008002959083980452,0.008765929806380829,0.01646370060140114,0.007458722904475247,0.009004977696925891,-0.0007629707643877775,0.004096387803258456,5.368997076245086
0.15,0.001995262314968879,0.24462690381044747,0.11684321831048737,-0.0007400644761000885,-0.008023176897186506,0.008763241373286552,0.016490392480033065,0.007456435380169197,0.009033957099863868,-0.0007400645135420851,0.004080777912926876,5.51408402680399
